array_size;time
500;25713638042
1000;662847458
1500;487273500
2000;870017917
2500;2179633750
3000;17758417
3500;16753208
4000;16707083
4500;16787333
5000;17514750
5500;18860458
6000;20526625
6500;22106750
7000;23874584
7500;25650625
8000;27134041
8500;29381833
9000;30835167
9500;32191208
10000;34769000
