array_size;time
500;250958
1000;481541
1500;734334
2000;985833
2500;1145458
3000;1470416
3500;1639625
4000;1973167
4500;2262209
5000;2507500
5500;2813917
6000;2966167
6500;3326667
7000;3507750
7500;3964500
8000;4375917
8500;4348666
9000;4715125
9500;4868208
10000;5352958
