array_size;time
500;1689000
1000;3494792
1500;5264292
2000;6874917
2500;8548083
3000;10378500
3500;12081458
4000;13839000
4500;15583042
5000;53366833
5500;20188208
6000;21739083
6500;23387167
7000;24635458
7500;27541667
8000;32450084
8500;29513084
9000;31338334
9500;32944709
10000;34697709
