array_size;time
500;1684583
1000;3418125
1500;5038375
2000;6899833
2500;8462167
3000;10195583
3500;11874666
4000;13608708
4500;15348916
5000;17446583
5500;19670000
6000;21530750
6500;22973584
7000;24615584
7500;27150042
8000;29142125
8500;31349958
9000;32228209
9500;33612583
10000;35172833
