array_size;time
500;222167
1000;469417
1500;664792
2000;882500
2500;1108750
3000;1344375
3500;1605750
4000;1851000
4500;1978125
5000;2205458
5500;2444750
6000;2742209
6500;2985291
7000;3108666
7500;3461125
8000;3535834
8500;3855375
9000;4052417
9500;4268166
10000;4344416
